# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.apply.loaded.storage.ms,1697550053966000000,1697550113995000000,202
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1697550053966000000,1697550113995000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1697550053966000000,1697550113995000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1697550053966000000,1697550113995000000,0
workspaceModel.orphan.listener.update.ms,1697550053966000000,1697550113995000000,5
workspaceModel.moduleManagerBridge.load.all.modules.ms,1697550053966000000,1697550113995000000,643
jps.save.changed.project.entities.ms,1697550053966000000,1697550113995000000,0
workspaceModel.global.updates.ms,1697550053966000000,1697550113995000000,2
jps.project.serializers.save.ms,1697550053966000000,1697550113995000000,0
jps.load.initial.state.ms,1697550053966000000,1697550113995000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1697550053966000000,1697550113995000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1697550053966000000,1697550113995000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1697550053966000000,1697550113995000000,36
workspaceModel.global.apply.state.to.project.builder.ms,1697550053966000000,1697550113995000000,1
jps.facet.change.listener.process.change.events.ms,1697550053966000000,1697550113995000000,1
workspaceModel.mutableEntityStorage.entities.ms,1697550053966000000,1697550113995000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1697550053966000000,1697550113995000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1697550053966000000,1697550113995000000,2
jps.facet.change.listener.init.bridge.ms,1697550053966000000,1697550113995000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1697550053966000000,1697550113995000000,1264
workspaceModel.moduleManagerBridge.create.module.instance.ms,1697550053966000000,1697550113995000000,0
jps.project.serializers.load.ms,1697550053966000000,1697550113995000000,199
jps.global.get.libraries.ms,1697550053966000000,1697550113995000000,0
jps.library.entities.serializer.load.entities.ms,1697550053966000000,1697550113995000000,47
workspaceModel.save.cache.to.file.ms,1697550053966000000,1697550113995000000,82
workspaceModel.mutableEntityStorage.resolve.ms,1697550053966000000,1697550113995000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1697550053966000000,1697550113995000000,0
jps.global.initialize.library.bridges.after.loading.ms,1697550053966000000,1697550113995000000,0
